		ENRC1	ENRC2	ENRC3	ENRI1	ENRI2	ENRI3
Gene: Golim4	Type_Where: enteroendocrine_crypt&villi	25.663	25.6491	25.5016	25.4303	25.431	25.5098
Gene: Rpl24	Type_Where: enteroendocrine_crypt&villi	30.2812	30.3476	30.2797	29.6457	29.5527	29.6053
Gene: Fabp5	Type_Where: enteroendocrine_crypt&villi	27.3913	27.4395	27.5427	26.4492	26.2347	26.286
Gene: Anxa6	Type_Where: enteroendocrine_crypt&villi	27.4261	27.4694	27.4525	25.6592	25.6775	25.6484
Gene: Marcks	Type_Where: enteroendocrine_crypt&villi	29.2342	29.2988	29.2775	27.3628	27.3394	27.485
Gene: Trp53i11	Type_Where: enteroendocrine_crypt&villi	24.6033	24.755	24.7282	22.5524	22.8064	22.8293
Gene: Ace	Type_Where: Enterocyte_villi	0	0	0	25.9725	26.1248	26.0531
Gene: H2-T3	Type_Where: Enterocyte_villi	0	0	0	24.263	23.6154	23.4584
Gene: Dpep1	Type_Where: Enterocyte_villi	0	0	0	24.9216	25.0153	25.0925
Gene: Cd36	Type_Where: Enterocyte_villi	0	0	0	25.8333	25.7356	25.7166
Gene: Ggt1	Type_Where: Enterocyte_villi	0	0	0	25.6774	25.7101	25.8452
Gene: Lrrc19	Type_Where: Enterocyte_villi	0	0	0	25.9234	25.8313	26.1332
Gene: Dusp12	Type_Where: Enterocyte_villi	21.1249	22.396	0	0	0	0
Gene: Abcg8	Type_Where: Enterocyte_villi	0	0	0	24.2311	24.6737	24.4638
Gene: Slc15a1	Type_Where: Enterocyte_villi	0	0	0	25.4657	25.4706	25.5606
Gene: Treh	Type_Where: Enterocyte_villi	0	0	0	27.8064	27.7149	27.6007
Gene: Slc7a8	Type_Where: Enterocyte_villi	0	0	0	23.2689	23.0894	23.1724
Gene: Adh4	Type_Where: Enterocyte_villi	0	0	0	28.4357	28.2974	28.2938
Gene: Slc26a3	Type_Where: Enterocyte_villi	0	0	0	23.7316	23.7351	24.0472
Gene: Rdh7	Type_Where: Enterocyte_villi	18.3422	18.7358	20.0932	29.439	29.1619	29.4718
